weekday,hour,capacity_mean,capacity_median,capacity_max,capacity_min
Monday,10:00,2.2857142857142856,0.0,18,0
Monday,10:15,7.0,6.0,26,0
Monday,10:30,10.619047619047619,9.0,38,1
Monday,10:45,13.428571428571429,12.0,47,1
Monday,11:00,16.476190476190474,14.0,50,2
Monday,11:15,18.8,17.5,55,8
Monday,11:30,19.857142857142858,18.0,61,8
Monday,11:45,20.38095238095238,19.0,63,6
Monday,12:00,21.7,17.5,73,6
Monday,12:15,21.19047619047619,16.0,78,6
Monday,12:30,19.61904761904762,16.0,73,4
Monday,12:45,18.35,15.5,68,1
Monday,13:00,18.15,15.5,63,1
Monday,13:15,18.4,15.5,67,1
Monday,13:30,17.45,15.0,62,1
Monday,13:45,18.157894736842106,14.0,70,1
Monday,14:00,19.63157894736842,15.0,65,1
Monday,14:15,21.05263157894737,16.0,67,6
Monday,14:30,20.842105263157894,14.0,58,6
Monday,14:45,22.0,18.0,62,6
Monday,15:00,21.473684210526315,19.0,52,6
Monday,15:15,22.05263157894737,17.0,57,6
Monday,15:30,26.105263157894736,26.0,58,10
Monday,15:45,28.57894736842105,28.0,59,10
Monday,16:00,31.789473684210527,32.0,60,10
Monday,16:15,34.25,35.5,62,10
Monday,16:30,36.85,40.0,61,12
Monday,16:45,39.7,44.5,68,16
Monday,17:00,42.4,47.0,74,11
Monday,17:15,41.65,42.5,72,12
Monday,17:30,43.25,42.5,73,16
Monday,17:45,47.45,48.0,78,19
Monday,18:00,50.55,49.0,80,21
Monday,18:15,55.15,55.5,83,21
Monday,18:30,59.35,60.5,87,26
Monday,18:45,64.85,66.5,92,23
Monday,19:00,66.75,67.5,91,29
Monday,19:15,69.1,69.0,96,37
Monday,19:30,74.35,71.5,100,50
Monday,19:45,76.4,74.0,99,51
Monday,20:00,77.9,76.0,100,54
Monday,20:15,76.9,78.0,100,53
Monday,20:30,73.5,74.5,100,50
Monday,20:45,70.05,68.5,97,33
Monday,21:00,64.95,65.0,100,30
Monday,21:15,61.10526315789474,64.0,92,30
